author,content,description,publishedAt,source.name,title,url,urlToImage
,owings mills md  the baltimore ravens and cornerback tavon young have agreed to a threeyear 258 million extension a source told espns adam schefter on thursday the deal which has a max value of 29 million and will make young the nfls highestpai 1361 chars,tavon young who had two fumble recoveries and an interception last season and has become one of the top nickelbacks in the nfl has reached an extension with the ravens sources told espn,2019-02-21 17:13:17,espn,baltimore ravens cb tavon young agree to extension  espn,http://www.espn.com/nfl/story/_/id/26047022/baltimore-ravens-cb-tavon-young-agree-extension,https://a2.espncdn.com/combiner/i?img=%2Fphoto%2F2017%2F0611%2Fr218781_1296x729_16%2D9.jpg
christinamontford,colin kaepernick can now rest a little easier at night on friday kaepernick and eric reid settled their collusion case against the nfl this settlement comes over 16 months after the complaint was filed the complaint claimed that the nfl teams were working 2936 chars,which team will colin kaepernick sign with,2019-02-21 17:13:13,cheatsheet,is colin kaepernick signing with the patriots  the cheat sheet,https://www.cheatsheet.com/entertainment/is-colin-kaepernick-signing-with-the-patriots.html/,https://www.cheatsheet.com/wp-content/uploads/2016/05/cs-logo.png
stephen white,im honestly quite excited to see ed oliver develop on the next level because im pretty sure he is about to take a huge leap forward as a player in the nfl oliver played the hell out of a zero nose in college but i dont think anyone believes thats where hell 15301 chars,retired nfl lineman stephen white breaks down why hes so excited to see a team use oliver the right way,2019-02-21 17:08:22,sbnation,nfl draft 2019 ed oliver can be a special pass rusher at next level  sb nation,https://www.sbnation.com/nfl/2019/2/21/18232987/nfl-draft-2019-ed-oliver-scouting-report-breakdown-pass-rusher,https://cdn.vox-cdn.com/thumbor/ITweRqSNJ_D5cfBeBtsAdQNSb3E=/0x94:2000x1141/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/14138129/NFL_OS_Tier_2.jpg
,free agency is set to begin in just a few weeks which means there are a whole lot of players around the league who will be finding new teams pretty soon as recently as wednesday it appeared that new york giants safety landon collins would be one of those p 2437 chars,collins does not want to be tagged and would reportedly skip out on spring activities if he is,2019-02-21 17:06:00,cbssports,franchise tag reportedly still likely for landon collins even after locker cleanout  cbs sports,https://www.cbssports.com/nfl/news/franchise-tag-reportedly-still-likely-for-landon-collins-even-after-locker-clean-out/,https://sportshub.cbsistatic.com/i/r/2018/04/11/0f38987c-f2d5-4a7d-801f-d9127fd7191d/thumbnail/770x433/b21d9c33e2495dded8ccb3f353c5fea2/usatsi-10499097.jpg
andy benoit,antonio brown is available for trade and predicting where he will land or what the steelers will get in return is like guessing where the pill will stop on a roulette wheel never has the destination for an nfl star on the trading block been so difficult t 5179 chars,antonio brown is the type of athlete that could fit into any teams offensive scheme and if the wr accepts a restructured contract into any teams payroll as well which makes predicting a possible trade a more than difficult task,2019-02-21 17:01:31,si,best landing spot for antonio brown any of the nfls other 31 teams  sports illustrated,https://www.si.com/nfl/2019/02/21/antonio-brown-trade-steelers-landing-spots,https://imagesvc.timeincapp.com/v3/mm/image?url=https://cdn-s3.si.com/images/antonio-brown-trade-steelers-landing-spots-teams.jpg&w=1200&h=628&c=sc&poi=face&q=85
matt breen,clearwater fla the sting of being outbid for manny machado proved to be enough motivation for the phillies to heighten their pursuit of bryce harper and a source said thursday afternoon that they are confident they will sign the superstar outfielder the p 3116 chars,the phillies are motivated by missing out on manny machado and the market for competition appears to be thinning,2019-02-21 16:58:23,philly,phillies confident they will sign bryce harper as negotiations pick up  phillycom,https://www.philly.com/phillies/bryce-harper-phillies-news-manny-machado-padres-20190221.html,https://www.philly.com/resizer/H3wnGsgfjJvH08oXWIc9mdyb7Jg=/1200x0/center/middle/www.philly.com/resizer/KLJP9b97GfzgCadcaOnMCk2lOcY=/1200x0/center/middle/arc-anglerfish-arc2-prod-pmn.s3.amazonaws.com/public/GHO5KNYPQRHQNJVD72ETFHQXZ4.jpg
paul doyle,mauricio pochettino has praised the animal qualities that have enabled harry kane to fight back from an ankle injury to the point where he could return to action at burnley on saturday the striker has missed seven spurs matches since damaging the ankle in th 1798 chars,tottenhams manager mauricio pochettino will be the one who has the final say on whether harry kane will feature in the squad at burnley on saturday,2019-02-21 16:38:00,the guardian au,ive had to hold back animal harry kanes spurs return says pochettino  the guardian,https://www.theguardian.com/football/2019/feb/21/ive-had-to-hold-back-animal-harry-kanes-tottenham-return-says-pochettino,https://i.guim.co.uk/img/media/886d02a3813fa3661436f45b2f3fc21b19e022e6/0_159_5184_3110/master/5184.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=54711becf4248b605987a9752b59e305
,englewood colo  after one season as the starter denver broncos quarterback case keenum said he was definitely shocked and disappointed that the team has the framework of a trade in place with the baltimore ravens to acquire joe flacco the broncos si 4021 chars,case keenum says hes shocked over the broncos yettobefinalized trade for joe flacco and that hes still unsure of whats next after talking to gm john elway,2019-02-21 16:37:42,espn,case keenum has talked to denver broncos gm john elway shocked by joe flacco trade  espn,http://www.espn.com/nfl/story/_/id/26046743/case-keenum-talked-denver-broncos-gm-john-elway-shocked-joe-flacco-trade,https://a4.espncdn.com/combiner/i?img=%2Fphoto%2F2018%2F0402%2Fr350629_1296x729_16%2D9.jpg
sporting news,more,there were a number of impressive tactical performances from managers in the last 16 first legs with the bosses of atletico psg  spurs standing out,2019-02-21 16:23:00,goal,lionel messi news lyon defender marcelo says kylian mbappe more difficult to play against than barcelona star  tips him to become worlds best  goalcom,https://www.goal.com/en-us/news/marcelo-mbappe-more-difficult-to-play-against-than-messi-he/1rq71rb9yt12o1m7e16kz2c2eq,http://st.snimg.com/image/logo/sn-social.png
,the nhl trade deadline is just a week away and this is shaping up to be one of the more interesting deadline days in recent memory there are a number of big names that could potentially get moved on or before feb 25 and there are a number of teams that a 6845 chars,theres potential for a number of teams to get way scarier at this years deadline,2019-02-21 16:07:00,cbssports,nhl trade deadline 2019 nine deals were rooting for with an eye on the stanley cup playoffs  cbs sports,https://www.cbssports.com/nhl/news/nhl-trade-deadline-2019-nine-deals-were-rooting-for-with-an-eye-on-the-stanley-cup-playoffs/,https://sportshub.cbsistatic.com/i/r/2019/02/18/78c893b2-5b48-4eff-9d64-2b07c5ca2208/thumbnail/770x433/955792d8776e276cab2303f8ef100d73/panarinnyi.jpg
